state,id,xd
Alabama,1,0
Alaska,2,0
Arizona,4,0
Arkansas,5,0
California,6,1
Colorado,8,0
Connecticut,9,0
Delaware,10,0
District of Columbia,11,0
Florida,12,0
Georgia,13,0
Hawaii,15,0
Idaho,16,0
Illinois,17,0
Indiana,18,0
Iowa,19,0
Kansas,20,0
Kentucky,21,0
Louisiana,22,0
Maine,23,0
Maryland,24,1
Massachusetts,25,1
Michigan,26,0
Minnesota,27,0
Mississippi,28,0
Missouri,29,1
Montana,30,0
Nebraska,31,0
Nevada,32,0
New Hampshire,33,0
New Jersey,34,0
New Mexico,35,0
New York,36,1
North Carolina,37,0
North Dakota,38,0
Ohio,39,0
Oklahoma,40,0
Oregon,41,0
Pennsylvania,42,1
Rhode Island,44,0
South Carolina,45,0
South Dakota,46,0
Tennessee,47,0
Texas,48,0
Utah,49,0
Vermont,50,0
Virginia,51,1
Washington,53,1
West Virginia,54,0
Wisconsin,55,0
Wyoming,56,0
Puerto Rico,72,0
